site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAAGAW0005,FVC-PV,4.692,20.5,0,4.319,4.75,0.088,no trend,0.007,0.080147434,2.248,"['2021-12-01', '2023-09-01', '2017-08-01']","[1.0, 0.999, 0.673]","['2012-10-31', '2012-04-01', '2017-08-01']","[0.738, 0.618, 0.454]",SAAGAW0005,-30.80325101,135.3901235,GAW
SAAGAW0006,FVC-PV,11.207,27.917,2,5.414,5.708,0.023,no trend,0.003,0.655116434,9.475,"['2012-01-01', '2023-10-01', '2016-05-01']","[0.96, 0.795, 0.59]","['2017-10-01', '2012-10-31', '2012-04-01']","[0.983, 0.942, 0.508]",SAAGAW0006,-30.533632,135.547127,GAW
SAAGAW0007,FVC-PV,10.128,19.167,3.917,2.708,3.833,0.149,increasing,0.012,0.003043515,8.92,"['2012-01-01', '2013-07-02', '2020-08-31']","[0.997, 0.931, 0.908]","['2010-08-01', '2012-05-01', '2017-12-01']","[0.887, 0.825, 0.634]",SAAGAW0007,-30.54736758,135.526835,GAW
SAAGAW0008,FVC-PV,3.952,9.5,0.5,2.076,3.333,0.084,no trend,0.005,0.094748169,3.18,"['2020-08-31', '2018-08-01', '2024-04-01']","[0.977, 0.922, 0.678]","['2022-06-02', '2021-07-02', '2016-09-30']","[0.969, 0.869, 0.632]",SAAGAW0008,-30.67968337,135.538546,GAW
SAAGAW0009,FVC-PV,10.068,28.083,0,5.588,5.042,0.048,no trend,0.006,0.344905507,8.184,"['2011-06-02', '2023-01-01', '2013-07-02']","[0.908, 0.582, 0.491]","['2016-10-31', '2012-11-30', '2011-06-02']","[0.685, 0.542, 0.474]",,-30.66921336,135.6267406,GAW
SAAGAW0010,FVC-PV,30.449,45.333,20.667,5.322,7.833,0.174,increasing,0.029,0.000536016,27.341,"['2020-11-30', '2018-09-01', '2013-11-01']","[1.0, 0.958, 0.607]","['2011-09-01', '2011-01-31', '2012-05-01']","[0.975, 0.974, 0.772]",,-32.77508381,135.9870104,GAW
SAAGAW0012,FVC-PV,17.022,47.333,1.75,10.304,12.875,-0.134,decreasing,-0.031,0.007617473,16.742,"['2022-12-01', '2022-01-01', '2017-09-01']","[0.999, 0.998, 0.925]","['2014-10-01', '2013-01-01', '2012-06-01']","[0.741, 0.602, 0.582]",,-32.79638123,136.0779654,GAW
SAAGAW0013,FVC-PV,17.372,30.583,8.583,4.147,5.458,-0.097,no trend,-0.013,0.054062193,18.551,"['2020-09-30', '2019-03-02', '2023-04-02']","[0.891, 0.89, 0.864]","['2011-01-01', '2012-11-30', '2020-04-01']","[0.854, 0.75, 0.102]",,-32.65868736,135.8663745,GAW
SAAGVD0001,FVC-PV,7.891,22.917,0.333,4.576,5.625,-0.021,no trend,-0.003,0.674151697,7.525,"['2013-07-02', '2011-07-02', '2014-09-01']","[0.958, 0.787, 0.736]","['2016-10-31', '2014-06-02', '2019-12-01']","[0.847, 0.333, 0.301]",SAAGVD0001,-29.34533611,130.4461611,GVD
SAAGVD0002,FVC-PV,8.284,21.5,1,4.157,5.167,-0.011,no trend,0,0.82519168,7.833,"['2011-07-02', '2013-08-01', '2018-05-02']","[0.921, 0.838, 0.458]","['2016-11-30', '2015-04-02', '2013-12-01']","[0.42, 0.394, 0.272]",SAAGVD0002,-29.34649167,130.4504778,GVD
SAAGVD0003,FVC-PV,9.376,38.667,0.056,9.665,12.583,-0.201,decreasing,-0.031,6.63E-05,7.115,"['2012-01-01', '2021-10-01', '2013-09-01']","[1.0, 0.79, 0.642]","['2018-01-01', '2014-09-01', '2017-06-02']","[0.828, 0.573, 0.449]",SAAGVD0003,-29.32168889,130.4461611,GVD
